epoch,stage,lr,backbone_lr,classifier_lr,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_logit_min,val_logit_max,val_prob_min,val_prob_max
1,S1,0.008,0.0,0.008,0.3012661096984393,0.2029163319248337,0.7128995433789954,0.8265765765765766,0.7107009588433715,0.8279717893299966,0.7119726834916709,0.8056309362279512,0.711080941700875,0.8131548025686569,-5.947081565856934,3.221950054168701,0.002606644295156002,0.9616520404815674
2,S1,0.008,0.0,0.008,0.24337839855723184,0.20822494013889417,0.791095890410959,0.831081081081081,0.7890116813230083,0.8398513975704682,0.7897418353114556,0.805461329715061,0.7893389541851517,0.8155073547743705,-6.193314075469971,3.2806906700134277,0.0020388790871948004,0.9637603759765625
3,S1,0.008,0.0,0.008,0.2519772490273872,0.18516129617755478,0.7922374429223744,0.8198198198198198,0.7902352718158265,0.8130267572211767,0.7901023711150293,0.8244148575305292,0.7901677662880179,0.8157485216308746,-4.958533763885498,4.081219673156738,0.006974236574023962,0.9833936095237732
4,S1,0.008,0.0,0.008,0.25254073745856004,0.20048165079709646,0.7768264840182648,0.8423423423423423,0.7746357524496756,0.8574386133846894,0.77493749835522,0.8147896879240162,0.774780174348167,0.8265431409755553,-5.988709449768066,2.749778985977173,0.0025006283540278673,0.9399008750915527
5,S1,0.008,0.0,0.008,0.2351239326337701,0.34215768490422954,0.7853881278538812,0.7117117117117117,0.7833161320218212,0.7799944837730992,0.7831863996420958,0.7582683175033922,0.7832502201216889,0.7103895309729101,-3.7514424324035645,5.0974955558776855,0.022945011034607887,0.993925154209137
6,S1,0.008,0.0,0.008,0.22988647154477088,0.4165078771074076,0.8122146118721462,0.6599099099099099,0.8103290550265176,0.7610853823913211,0.8106700176320429,0.7163331071913162,0.8104927809732658,0.6546099911906075,-3.491006851196289,5.514841556549072,0.029569197446107864,0.9959896206855774
7,S1,0.008,0.0,0.008,0.243528602602275,0.22231282387767826,0.7985159817351598,0.8198198198198198,0.7965194188683101,0.8589003810560697,0.7978565225400669,0.779553934871099,0.7970480782514899,0.7936946774156077,-6.954235076904297,2.970914602279663,0.0009536735014989972,0.9512426853179932
8,S1,0.008,0.0,0.008,0.23665835487243791,0.2866076961293951,0.7973744292237442,0.7612612612612613,0.7953583235820958,0.8519265232974911,0.7965906997552568,0.6998388738127544,0.79585801438473,0.7034778225806452,-5.986846923828125,2.5475544929504395,0.0025052784476429224,0.9274090528488159
9,S2,0.0004,4e-05,0.0004,0.23345268303400848,0.1728411620264655,0.8013698630136986,0.831081081081081,0.8020762176263345,0.8233669777185297,0.7955893576146741,0.8239908412483039,0.7975712373302735,0.823674247438511,-4.769775390625,3.751091241836548,0.008410940878093243,0.9770470857620239
10,S2,0.0016,0.00016,0.0016,0.20891354739938153,0.18194898184355315,0.809931506849315,0.8288288288288288,0.8079758462658091,0.8432400932400932,0.809043659043659,0.7996947082767978,0.8084321054257804,0.8111061352440663,-5.663565635681152,3.210340738296509,0.0034581217914819717,0.9612216353416443
11,S2,0.0028,0.00028,0.0028,0.21153554197860092,0.1796411259754284,0.8110730593607306,0.8378378378378378,0.8091327928548872,0.8560509554140128,0.8104226427011236,0.8081326322930801,0.8096591627080159,0.8204972710733778,-5.989309787750244,3.47613525390625,0.002499131252989173,0.9700010418891907
12,S2,0.004,0.0004,0.004,0.22069380694328378,0.15628090527680544,0.815068493150685,0.8603603603603603,0.8135006307965984,0.8531582920895898,0.8125898049948683,0.8570217096336499,0.8130059875189746,0.8549172551913145,-5.19103479385376,3.962419271469116,0.005535432603210211,0.9813377857208252
13,S2,0.004,0.0004,0.004,0.20420394967135774,0.1567447193571039,0.8253424657534246,0.8738738738738738,0.8236244431896605,0.8713703735806535,0.825792784020632,0.863339552238806,0.8243147412395282,0.866846603688709,-5.178790092468262,3.969069242477417,0.005603246856480837,0.9814592599868774
